GPU,Score,Price
GeForce GTX 850M,2518,0.0
Radeon Ryzen 7 PRO 7730U,2517,0.0
Radeon Pro WX 3100,2510,0.0
Radeon Ryzen 7 7730U,2502,0.0
Ryzen 5 PRO 5650G with Radeon Graphics,2501,0.0
Ryzen 7 4700GE with Radeon Graphics,2496,0.0
GeForce GT 1030,2483,110.44
Barco MXRT 5600,2466,704.0
GeForce MX330,2465,0.0
Radeon Eng Sample: 100-000000146-40_42/35_Y,2464,0.0
Ryzen 5 PRO 5650GE with Radeon Graphics,2459,0.0
FirePro 3D V8800,2438,424.99
GeForce MX250,2437,0.0
Ryzen 7 PRO 5750G with Radeon Graphics,2421,0.0
Radeon Ryzen 5 5600H,2418,0.0
Ryzen 5 Pro 4650G with Radeon Graphics,2418,0.0
Radeon Eng Sample: 100-000000262-30_Y,2416,0.0
Radeon Pro WX 3200,2414,173.22
GeForce GTX 960A,2411,0.0
Ryzen 5 5600H with Radeon Graphics,2411,0.0
Radeon Ryzen 7 5800U,2410,0.0
Radeon RX Vega 11 PRD,2402,0.0
Ryzen 7 7730U with Radeon Graphics,2400,0.0
Ryzen 5 4600G with Radeon Graphics,2389,0.0
Radeon Ryzen 7 5825U,2386,0.0
Radeon Pro WX 4150,2381,610.04
Radeon Ryzen 5 PRO 4655G,2376,0.0
Radeon Eng Sample: 100-000000285-40_Y,2365,0.0
Radeon Ryzen 7 7700X 8-Core,2363,0.0
Radeon Ryzen 5 PRO 4655GE,2362,0.0
GeForce GTX 485M,2360,0.0
FirePro W6150M,2358,0.0
Ryzen 7 5800U with Radeon Graphics,2358,0.0
Ryzen 5 7530U with Radeon Graphics,2356,0.0
Ryzen 7 4800U with Radeon Graphics,2344,0.0
P106-090,2343,0.0
Radeon RX Vega - Renoir Ryzen 3 5300U,2340,0.0
Ryzen 3 PRO 5350G with Radeon Graphics,2337,0.0
GRID M10-2B,2333,0.0
Radeon R9 M470,2331,0.0
Radeon Pro,2325,579.99
Ryzen 7 5825U with Radeon Graphics,2319,0.0
GRID M10-1B,2310,0.0
Radeon HD 5970,2308,179.99
Ryzen 5 PRO 7530U with Radeon Graphics,2307,0.0
Ryzen 5 PRO 4400G with Radeon Graphics,2306,0.0
FirePro V7900,2305,190.0
Radeon Ryzen 7 4800U,2297,0.0
Radeon Ryzen 5 4400G,2296,0.0
Radeon Ryzen 5 PRO 5650G,2296,0.0
Radeon Ryzen 7 PRO 4750GE,2294,0.0
Radeon Ryzen 5 PRO 5650GE,2287,0.0
Radeon Ryzen 7 5700U,2285,0.0
Radeon Ryzen 7 Microsoft Surface Edition,2281,0.0
Radeon RX 550X,2281,0.0
FirePro V8800,2281,198.0
Radeon RX Vega Ryzen 5 5500U,2280,0.0
GeForce MX150,2277,59.29
Quadro K3100M,2273,399.95
Radeon Ryzen 7 5800HS Creator Edition,2271,0.0
Radeon HD 6970M,2270,215.99
Radeon R7 250X,2269,194.0
Ryzen 7 PRO 5850U with Radeon Graphics,2266,0.0
Intel HD 5600,2264,0.0
GeForce GTX 460,2253,89.99
Ryzen 5 4600H with Radeon Graphics,2252,0.0
Ryzen 3 4300GE with Radeon Graphics,2252,0.0
Ryzen 7 5700U with Radeon Graphics,2247,0.0
Intel UHD Graphics P630,2241,0.0
Quadro K620,2240,2029.99
Ryzen 3 PRO 5350GE with Radeon Graphics,2234,0.0
Intel Iris Pro P580,2231,0.0
Ryzen 7 Extreme Edition,2227,0.0
GRID P100-1B,2223,0.0
Radeon HD 6870,2216,275.0
Radeon Ryzen 5 7530U,2216,0.0
Radeon HD 5870,2215,295.0
Ryzen 7 4700G with Radeon Graphics,2187,0.0
Ryzen 5 5600U with Radeon Graphics,2182,0.0
Ryzen 3 Pro 4350G with Radeon Graphics,2173,0.0
Radeon HD 7770,2170,300.0
Radeon Ryzen 5 5625U,2167,0.0
FirePro M6100,2165,0.0
Radeon RX Vega 11 Ryzen 5 3400G,2161,0.0
GeForce GTX 745,2149,284.95
Quadro M600M,2146,251.99
Radeon Ryzen 7 4850U Mobile,2138,0.0
RadeonT RX Vega 11,2131,0.0
Radeon Ryzen 3 PRO 7330U,2126,0.0
Radeon RX Vega 11,2122,1002.0
Radeon Ryzen 5 5500U,2122,0.0
Ryzen 5 5560U with Radeon Graphics,2114,0.0
Ryzen 7 4800H with Radeon Graphics,2113,0.0
GeForce 945M,2108,0.0
Radeon TM R9 A360,2105,0.0
Quadro P520,2104,1499.0
FirePro M5100,2103,0.0
Radeon Ryzen 5 5600U,2094,0.0
Ryzen 5 PRO 4650GE with Radeon Graphics,2092,0.0
Radeon Ryzen 5 Microsoft Surface Edition,2085,0.0
Radeon Ryzen 5 PRO 4500U,2078,0.0
GeForce GTX 580M,2074,248.68
GRID M6-1Q,2069,0.0
Ryzen 7 PRO 5875U with Radeon Graphics,2067,0.0
Ryzen 5 PRO 5650U with Radeon Graphics,2061,0.0
Radeon R9 M385,2061,0.0
Quadro 5000M,2060,0.0
Radeon RX Vega 11 Ryzen 5 3400GE,2057,0.0
Radeon Ryzen 7 4700U,2055,0.0
Radeon Ryzen 7 PRO 4750U,2043,0.0
Ryzen 3 4300G with Radeon Graphics,2040,0.0
Ryzen 7 4700U with Radeon Graphics,2034,0.0
Ryzen 7 PRO 4750U with Radeon Graphics,2030,0.0
FirePro V7800,2028,190.0
Radeon R9 350,2019,299.0
GeForce GTX 460 SE,2011,159.99
Radeon Pro W5500M,2010,0.0
Ryzen 5 5500U with Radeon Graphics,2008,0.0
Ryzen 5 PRO 4500U with Radeon Graphics,2008,0.0
GeForce GT 645,2006,0.0
Radeon Ryzen 5 5560U,2006,0.0
Ryzen 3 5300GE with Radeon Graphics,2005,0.0
Radeon R9 M385X,1994,0.0
GeForce GTX 765M,1992,186.3
Ryzen 5 5625U with Radeon Graphics,1991,0.0
Radeon Ryzen 5 7600 6-Core,1988,0.0
Ryzen 3 PRO 7330U with Radeon Graphics,1985,0.0
Radeon R7 + R7 350 Dual,1982,0.0
Intel Iris Pro 580,1982,0.0
Radeon Ryzen Embedded V2718,1982,0.0
Radeon Ryzen 7 PRO 5875U,1980,0.0
Radeon HD 5850,1980,288.99
Intel Iris Xe MAX,1972,0.0
Radeon HD 6850,1971,85.0
Radeon R7 + HD 7700 Dual,1962,0.0
Radeon Vega 11 Ryzen 5 PRO 3400G,1960,0.0
Radeon HD 7660D + HD 7700 Dual,1958,0.0
GeForce GTX 470M,1953,0.0
Radeon RX 640,1952,0.0
Ryzen 3 5300G with Radeon Graphics,1941,0.0
Radeon R7 450,1939,299.0
GeForce GTX 670MX,1939,0.0
Qualcomm Adreno 8cx Gen 3,1933,0.0
Radeon Vega 8 Ryzen 3 3200G,1931,0.0
Radeon Pro WX 4130,1928,0.0
Intel Iris Xe MAX 100,1927,0.0
GeForce GTX 675M,1925,0.0
Quadro 5000,1924,804.62
Radeon RX 570X,1923,376.87
Radeon HD 7560D + 7700 Dual,1919,0.0
GeForce GTX 560 SE,1914,89.99
Quadro K4000M,1909,254.0
Matrox C680 PCIe x16,1904,0.0
Radeon HD 7700-serie,1899,0.0
RadeonT Vega 8,1894,0.0
Radeon HD 8670D + HD 7700 Dual,1892,0.0
Ryzen 5 4600U with Radeon Graphics,1885,0.0
RTX 2060,1882,0.0
Radeon RX 540,1878,0.0
Ryzen 3 PRO 4350GE with Radeon Graphics,1876,0.0
GeForce GTX 460 v2,1872,199.99
Quadro M520,1870,0.0
GeForce GTX 645,1869,0.0
FirePro 3D V7800,1867,599.99
GeForce GTX 570M,1864,0.0
GeForce MX130,1863,0.0
Radeon Eng Sample: 100-000000287-40_Y,1862,0.0
Radeon RX Vega 11 Ryzen 7 3750H,1856,0.0
GeForce 945A,1852,0.0
Intel UHD Graphics 770,1846,0.0
Radeon Ryzen Embedded V2748,1842,0.0
Radeon R9 M360,1840,0.0
FirePro M5100 FireGL V,1839,0.0
GRID M60-0B,1838,0.0
GeForce MX230,1836,0.0
Radeon HD 8570D + HD 7700 Dual,1835,0.0
Radeon Vega 11 Ryzen 5 PRO 3400GE w/,1829,0.0
Radeon RX Vega 11 Processor,1829,0.0
MxGPU,1826,0.0
Radeon Vega 11,1824,0.0
Radeon RX Vega 10 Ryzen 7 3750H,1821,0.0
FirePro M6000,1820,325.99
Intel Iris Plus,1819,0.0
Ryzen 5 4500U with Radeon Graphics,1818,0.0
Radeon Pro WX 2100,1818,0.0
Radeon Ryzen 5 PRO 5675U,1813,0.0
Matrox C900 PCIe x16,1812,0.0
Embedded Radeon E9173,1807,0.0
Radeon HD 8870M / R9 M270X / M370X,1800,0.0
Ryzen 3 PRO 4200G with Radeon Graphics,1799,0.0
Radeon Ryzen 5 4600GE with Radeon Graphics,1793,0.0
Radeon HD 8670D + 7700 Dual,1789,0.0
Radeon Vega 11 Ryzen 5 PRO 3350G,1783,0.0
Radeon Ryzen 3 PRO 5450U,1782,0.0
Radeon RX Vega 10 Ryzen 5 3500U,1778,0.0
Radeon 550,1772,74.99
Quadro 5010M,1772,235.95
Radeon R9 M375X,1771,0.0
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C6 Ryzen,1769,0.0
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,1767,0.0
Ryzen 3 7330U with Radeon Graphics,1759,0.0
GeForce GTX 650,1753,109.98
FirePro M6000 Mobility Pro,1750,0.0
Radeon Ryzen 5 PRO 7645 6-Core,1749,0.0
Ryzen 3 PRO 4200GE with Radeon Graphics,1748,0.0
Radeon Ryzen Embedded R2544,1748,0.0
Intel Iris Plus 655,1745,0.0
Intel UHD Graphics 750,1742,0.0
Radeon Vega 8 Ryzen 3 PRO 3200G,1741,0.0
Firepro W5170M,1733,0.0
Ryzen 5 PRO 5675U with Radeon Graphics,1733,0.0
Radeon Ryzen 9 PRO 7945 12-Core,1731,0.0
Radeon HD 5830,1730,258.99
Intel Iris Plus 645,1727,0.0
Intel UHD Graphics P750,1727,0.0
Radeon Ryzen 5 7600X 6-Core,1725,0.0
Radeon Ryzen 3 7330U,1724,0.0
Radeon Vega 8 Ryzen 3 3200GE,1722,0.0
Ryzen 5 PRO 4650U with Radeon Graphics,1719,0.0
GeForce GTX 670M,1718,0.0
GeForce GTX 760M,1710,0.0
Radeon Ryzen 7 7700 8-Core,1708,0.0
Radeon HD 6900M,1703,0.0
Radeon HD 7750,1698,129.99
Radeon Ryzen 7 7800X3D 8-Core,1697,0.0
Radeon E8860,1686,0.0
Radeon Eng Sample: 100-000000263-30_Y,1684,0.0
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C2 Ryzen,1681,0.0
Ryzen 3 5425U with Radeon Graphics,1677,0.0
Radeon Vega 8 Ryzen 5 3550H,1673,0.0
Radeon R7 M380,1669,0.0
GeForce GT 755M,1664,0.0
FirePro W600,1662,414.99
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C3 Ryzen,1654,0.0
Radeon HD HD7850M,1652,0.0
Radeon RX Vega 10,1646,0.0
Quadro K3000M,1646,407.56
Radeon HD 8870M,1638,0.0
Intel UHD Graphics 730,1629,0.0
FirePro M4000 Mobility Pro,1628,0.0
Intel Iris Pro P6300,1626,0.0
Ryzen 3 5400U with Radeon Graphics,1625,0.0
Radeon R7 M465X,1624,0.0
Radeon Vega 8 Ryzen 3 PRO 3200GE w/,1622,0.0
Ryzen 7 2700U with Radeon Vega,1617,0.0
GeForce GTX 480M,1617,0.0
FirePro M4000,1612,72.83
Radeon Ryzen 9 7950X3D 16-Core,1611,0.0
Radeon HD 6790,1606,294.0
Radeon RX Vega11,1605,0.0
Seria Radeon HD 7700,1604,0.0
Quadro P500,1603,0.0
Ryzen 3 PRO 5450U with Radeon Graphics,1601,0.0
Quadro P400,1601,201.17
Radeon Vega 10 Ryzen 7 PRO 3700U w/,1598,0.0
Radeon Ryzen 3 5425U,1597,0.0
Intel Iris Plus 650,1585,0.0
Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1585,0.0
Radeon Vega 8,1585,126.86
Radeon Vega 9,1582,0.0
Radeon Ryzen 3 5300U,1578,0.0
Quadro K2000D,1577,339.99
Radeon R9 M275X / M375,1575,0.0
Radeon Athlon Gold PRO 4150GE,1574,0.0
Radeon RX Vega 11 Ryzen 5 3350G,1572,0.0
GeForce GTX 555,1572,0.0
Quadro K2000,1570,294.0
Radeon Vega 10,1568,0.0
Radeon HD 7560D + HD 6670 Dual,1555,0.0
FirePro W4100,1546,184.0
Radeon HD 8470D + HD 7500 Dual,1545,0.0
Ryzen 3 5300U with Radeon Graphics,1545,0.0
Ryzen 3 PRO 4300U with Radeon Graphics,1543,0.0
Ryzen 3 PRO 4450U with Radeon Graphics,1541,0.0
GeForce GTX 550 Ti,1540,99.99
FirePro V8700,1539,157.88
Radeon R9 M275X,1537,0.0
Radeon Ryzen Embedded V2516,1528,0.0
Radeon Vega 6 Ryzen 3 3350U,1527,0.0
Radeon R9 M370X,1517,889.0
GeForce GTX 285,1516,119.99
Radeon HD 4890,1514,89.99
Radeon RX Vega 10 Ryzen 7 3700U,1513,0.0
GeForce 940MX,1510,0.0
Radeon HD 7870M,1507,0.0
GeForce 845M,1507,0.0
Ryzen 5 2500U with Radeon Vega,1503,0.0
Radeon 550X,1494,0.0
Radeon HD 6670 + 7660D Dual,1492,0.0
GeForce GT 740,1491,236.99
Radeon RX Vega 8,1487,0.0
Radeon Ryzen 7 PRO 7745 8-Core,1487,0.0
Radeon HD 7660D + HD 6670 Dual,1485,0.0
Radeon R9 M365X,1482,0.0
Radeon Vega 10 Mobile,1481,0.0
Quadro 4000,1479,1008.09
Radeon R7 FX-9830P RADEON,1476,0.0
Intel UHD Graphics,1475,0.0
Radeon R9 255,1457,344.16
GeForce MX110,1452,0.0
Intel Iris Pro Graphics 6200,1450,0.0
GeForce GTX 660M,1444,78.99
Ryzen 5 PRO 4400GE with Radeon Graphics,1442,0.0
Radeon Eng Sample: 100-000000085-40_35/24_Y,1441,0.0
Radeon HD 8470D + HD 6670 Dual,1436,0.0
Radeon Vega 9 Ryzen 5 Microsoft Surface Edition,1435,0.0
Radeon Vega 6 Ryzen 3 PRO 3300U w/,1433,0.0
Intel Iris 650,1433,0.0
Ryzen 3 PRO 5475U with Radeon Graphics,1432,0.0
Radeon Ryzen 3 PRO 4355GE,1432,0.0
GeForce GTX 275,1427,431.72
Radeon HD 7560D + 7670 Dual,1426,0.0
Radeon R7 M370,1418,0.0
Radeon Vega 8 Mobile,1414,0.0
Intel Iris 550,1412,0.0
Radeon Vega 8 Ryzen 5 3500U,1411,0.0
Radeon Pro WX 4170,1409,0.0
Radeon Vega 8 Ryzen 5 PRO 3500U w/,1405,0.0
Radeon 540X,1402,0.0
Radeon Ryzen 7 3700U,1401,0.0
FirePro W5130M,1396,0.0
Radeon HD 7560D + HD 7670 Dual,1380,0.0
Radeon HD 7850M,1373,0.0
Radeon HD 4870,1366,79.99
FirePro M40003,1364,0.0
Radeon HD 8670D + 6670 Dual,1361,0.0
Quadro K2100M,1361,415.99
Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1357,0.0
Ryzen 3 4300U with Radeon Graphics,1349,0.0
Radeon HD 7560D + HD 7700 Dual,1347,0.0
Intel Iris Plus 640,1345,0.0
Radeon 540,1344,0.0
Radeon HD 5770,1344,189.99
FireStream 9270,1341,0.0
Radeon Vega 3 Athlon Gold 3150G,1334,0.0
Quadro 4000M,1324,232.06
Radeon HD 8670D + HD 7600 Dual,1318,0.0
GeForce GT 750M,1317,0.0
FirePro M5950,1314,0.0
GeForce GTS 450,1314,79.99
Radeon R7 PRO A8-8670E,1310,0.0
Radeon HD 4870 X2,1309,0.0
GeForce 930A,1309,0.0
Radeon Vega 6,1309,1799.99
Tesla M2070-Q,1306,0.0
Radeon HD 8790M,1306,0.0
Radeon Vega 6 Ryzen 3 3300U,1301,0.0
TENSOR 1.0 Driver Intel HD 630,1300,0.0
GeForce GTX 280,1299,522.78
GeForce 930MX,1298,0.0
"Radeon R7 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",1293,0.0
Radeon Vega 9 Ryzen 5 3550H,1287,0.0
Radeon R7 A370,1281,0.0
FirePro 3D V8750,1272,1230.99
FirePro V5900,1270,86.0
Radeon HD 8570D + HD 6670 Dual,1261,0.0
Radeon HD 7560D + HD 7600 Dual,1258,0.0
Radeon Vega 8 Ryzen 5 3450U,1254,0.0
Intel UHD Graphics 630,1249,0.0
Intel Iris 540,1248,0.0
Radeon HD 6770,1247,264.99
Radeon 630,1245,0.0
Quadro 2000 D,1239,0.0
Radeon HD 8570D + 6570 Dual,1239,0.0
Radeon HD 7660D + 6670 Dual,1238,0.0
Radeon HD 7560D + HD 6570 Dual,1237,0.0
Radeon R7 + R5 340 Dual,1235,0.0
Radeon R7 + R7 250 Dual,1232,0.0
GeForce GTX 460M,1232,0.0
FirePro 3D V5800,1232,204.0
GeForce GT 745A,1230,0.0
GeForce GTX 260,1230,79.99
GeForce GTX 760A,1226,0.0
RadeonT 610M,1225,0.0
GeForce GTX 560M,1222,0.0
Radeon HD 8670D + HD 6670 Dual,1222,0.0
Quadro FX 5800,1217,274.0
Radeon HD 8790M / R9 M290X,1211,0.0
Radeon HD 7730,1209,232.7
GeForce GT 650M,1209,0.0
FirePro 3D V8700,1206,170.07
N16P-GX,1205,0.0
Radeon HD 7660D + 7540D Dual,1204,0.0
Radeon R9 M270X,1204,0.0
Intel Iris Pro 5200,1202,0.0
GeForce GTX 295,1202,159.99
GeForce GPU,1199,0.0
Radeon HD 7750M,1191,0.0
Radeon R7 +8G,1191,0.0
Intel HD P630,1184,0.0
GeForce 840A,1180,0.0
GeForce GT 640,1179,109.99
FirePro V5800,1176,53.0
Quadro M500M,1174,0.0
Firepro W4190M,1171,0.0
Radeon R7 Opteron X3421,1169,0.0
FireStream 9250,1165,0.0
Quadro K620M,1162,0.0
NVS 810,1161,624.99
Radeon HD 5750,1161,69.99
Barco MXRT 5400,1161,203.0
Intel Coffee Lake UHD,1158,0.0
Radeon R7 M465,1157,0.0
Intel HD P530,1154,0.0
Radeon Ryzen 9 7900X3D 12-Core,1147,0.0
Radeon R7 A8-7690K,1141,0.0
Radeon HD 8850M / R9 M265X,1140,0.0
GeForce 830A,1138,0.0
Radeon R7 M350,1134,0.0
Radeon HD 4850 X2,1132,0.0
Radeon HD 7560D + 6670 Dual,1131,0.0
Radeon R7 A10-7870K,1129,0.0
Radeon HD 8650G + 7700M Dual,1126,0.0
Radeon HD 7660D + 7500 Dual,1121,0.0
GeForce 940M,1121,0.0
Radeon 625,1119,0.0
FirePro M4170,1119,0.0
Radeon R7 A12-9800 RADEON,1118,0.0
Radeon R9 M265X,1118,0.0
Radeon R7 M460,1117,0.0
Radeon R9 M275,1115,699.99
Radeon R7 430,1111,150.58
Radeon R7 A10-9700E RADEON,1109,0.0
Intel HD 630,1109,0.0
Radeon 610M,1107,0.0
GeForce 940A,1107,0.0
GeForce GT 545,1102,55.59
Radeon HD 7660D + 6570 Dual,1100,0.0
Quadro 2100M,1100,0.0
GeForce GT 745M,1096,0.0
Radeon R5 PRO A6-9500 2C+6G,1096,0.0
Mobility Radeon HD 5870,1093,0.0
GeForce GTX 850M - MODDED,1092,0.0
Quadro K1100M,1085,322.99
GeForce 920MX,1084,0.0
Radeon R7 250,1083,189.97
GeForce 840M,1082,0.0
MIRRORV3,1081,0.0
Barco MXRT 5450,1079,199.99
Radeon R7 + R7 200 Dual,1077,0.0
Intel UHD Graphics 710,1077,0.0
Radeon 535,1072,0.0
Radeon HD 8450G + 8600/8700M Dual,1070,0.0
Radeon Ryzen 5 3450U,1063,0.0
Radeon HD 7660D + 7670 Dual,1062,0.0
Radeon Ryzen Embedded R2514,1061,0.0
Radeon HD 7520G + 7700M Dual,1061,0.0
Firepro M4100,1059,0.0
FirePro W4170M,1057,0.0
OPAL XT/GL,1053,0.0
Radeon HD 7670A,1050,0.0
GeForce GTX 850A,1050,0.0
Radeon R7 A12-9730P RADEON,1047,0.0
Radeon R7 + R7 240 Dual,1045,0.0
Radeon Vega 3 Athlon 300GE,1044,0.0
Intel UHD Graphics 620,1041,0.0
Radeon HD 8570D + 6670 Dual,1040,0.0
Radeon HD 6750,1035,79.99
Radeon HD 8570D + HD 8570 Dual,1033,0.0
Radeon HD 8600/8700M,1030,0.0
Radeon R7 + R5 330 Dual,1028,0.0
Radeon R7 340,1027,0.0
Radeon Vega 3 Mobile,1025,0.0
Radeon R9 A375,1024,0.0
Radeon HD 8670D + R7 240 Dual,1020,0.0
Radeon Vega 3 Athlon 3000G,1019,0.0
Quadro 3000M,1019,69.99
Radeon HD 6700M,1017,0.0
Quadro K2000M,1016,144.04
Radeon R5 A6-9500E 2C+4G,1015,0.0
Radeon RX Vega 6,1015,0.0
GeForce 930M,1012,0.0
Radeon HD 7690M XT,1009,0.0
Radeon R7 M260X,1009,0.0
Radeon 530,1008,0.0
GeForce 830M,1007,0.0
Radeon HD 7690M,1003,0.0
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002,0.0
Radeon HD 8570D + R7 200 Dual,999,0.0
Radeon HD 7660G + HD 7500M/7600M Dual,999,0.0
Radeon HD 7640G + HD 8750M Dual,997,0.0
Intel HD 530,996,0.0
Radeon R7 A265,994,0.0
Quadro FX 4800,991,204.0
Radeon HD 7560D + 7570 Dual,985,0.0
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",985,0.0
Radeon HD 8690M,984,0.0
FirePro V4900,984,149.99
Radeon R5 340,984,0.0
Radeon HD 7560D + 7560D Dual,983,0.0
Radeon R7 A10-7850K,979,0.0
Radeon R5 A10-9630P 4C+6G,977,0.0
Quadro 2000D,974,140.0
Radeon HD 8670D + 8570 Dual,974,0.0
Radeon HD 8850M,973,0.0
Qualcomm Adreno 690 GPU,973,0.0
Radeon R6 A10-9600P 4C+6G,970,0.0
Radeon R7 PRO A10-9700E,967,529.0
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,967,0.0
Radeon HD 6770M,964,0.0
Radeon HD 8570D + R7 240 Dual,964,0.0
Radeon HD 8750M,963,0.0
Radeon R7 M270DX,962,0.0
Radeon HD 8570,961,98.68
TENSOR 1.0 Driver Intel HD 530,958,0.0
Radeon R9 M375,957,0.0
Radeon R6 Opteron X3418,955,0.0
Radeon HD 8670D + R7 200 Dual,950,0.0
Radeon HD 8570 + HD 7660D Dual,949,0.0
Quadro CX,947,149.95
Quadro 2000,946,213.23
Radeon R7 PRO A12-8870E,946,0.0
Radeon HD 6670/7670,946,0.0
Radeon HD 7640G + 7690M Dual,946,0.0
Radeon R7 M445,946,744.0
Radeon R7 PRO A10-8850B,945,0.0
zxcvIntel HD 620,944,0.0
Radeon R7 PRO A12-9800E,943,0.0
Radeon HD 7660D + R7 240 Dual,942,0.0
Radeon HD 4850,939,378.0
Radeon R5 430,937,59.0
Radeon HD 6750M,937,0.0
Radeon HD 7560D + HD 8570 Dual,936,0.0
Radeon R7 PRO A12-9800,933,0.0
Radeon HD 7660G + 7730M Dual,931,0.0
Radeon R7 240 + HD 8670D Dual,930,0.0
FirePro M4150,929,0.0
Intel HD Graphics 620,927,0.0
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",926,0.0
Intel Iris Pro 6100,925,0.0
GeForce GT 645M,925,0.0
Radeon R7 A10-9700 RADEON,924,0.0
Radeon R7 A10-7860K,923,0.0
GeForce GT 640M,922,0.0
Radeon Vega 3 Athlon Gold PRO 3150GE,920,0.0
Radeon R7 240 + HD 8570D Dual,918,0.0
Intel Iris 6100,914,0.0
GRID M10-0Q,914,0.0
Radeon R7 A8-8650,913,0.0
GRID K220Q,912,0.0
GRID M6-0B,912,0.0
Radeon 6750M,911,0.0
Radeon R7 A8-7500,908,0.0
GRID P40-6Q,905,0.0
Radeon R7 PRO A12-8870,905,0.0
Radeon HD 8550G + 7600M Dual,901,0.0
Barco MXRT 7400,901,99.0
Barco MXRT 2600,900,199.0
Radeon R7 PRO A10-8770,900,0.0
Radeon R7 + R5 Dual,898,0.0
Radeon R7 M440,898,0.0
Radeon 620,897,0.0
Radeon HD 4770,895,59.99
7900 MOD - Radeon HD 6550D,893,0.0
Qualcomm Adreno 685 GPU,893,0.0
Intel UHD Graphics 617,893,0.0
Radeon Vega 3,892,2677.99
Radeon R7 A12-9800E RADEON,892,139.19
Radeon R7 240,892,109.99
FirePro W2100,890,59.0
Radeon R7 + R5 435 Dual A10-9700 RADEON,886,0.0
Radeon Vega 3 Athlon 300U,884,0.0
Radeon HD 8650G + 7670M Dual,884,0.0
Radeon R7 A10 PRO-7850B,882,0.0
Radeon HD 7660G + HD 7730M Dual,882,0.0
Radeon E6760,877,239.99
Radeon R7 PRO A8-9600,874,0.0
Intel HD 520,871,0.0
Radeon R7 G,870,0.0
Radeon HD 8570D + HD 6570 Dual,868,0.0
Mobility Radeon HD 4850,866,0.0
Radeon HD 8470D + HD 6450 Dual,863,0.0
Intel HD 6000,859,0.0
Radeon 520,859,89.99
Radeon Vega 3 Athlon Silver 3050U,856,0.0
Radeon HD 8550G + HD 7600M Dual,855,0.0
FirePro 3D V4800,854,159.99
Radeon R5 A6-9500 2C+6G,853,0.0
Radeon R7 A8-7500 4C+6G,853,0.0
Radeon HD 8500M/8700M,853,0.0
Radeon Vega 3 Ryzen 3 3200U,851,0.0
Radeon R7 A10-7890K,850,0.0
GeForce 920A,850,0.0
Radeon R7 A8-7670K,849,0.0
Radeon R5 PRO A6-8570 2C+6G,847,0.0
Radeon R7 A10-8750,844,0.0
Radeon R5 435,841,0.0
FireGL V8600,839,0.0
Radeon HD 8470D + 6570 Dual,838,0.0
Radeon HD 8670D + R5 235 Dual,837,0.0
Radeon HD 4830,836,59.99
Radeon HD 6650A,836,0.0
Radeon R7 A10 PRO-7800B,835,0.0
GeForce GT 635,834,66.94
Radeon HD 7560D + 6570 Dual,833,0.0
Radeon R7 A8-9600 RADEON,833,0.0
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",833,0.0
Radeon HD 7520G + HD 7500/7600 Dual,832,0.0
Radeon HD 8650G + 8600/8700M Dual,832,0.0
